district_name,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil
ACADEMY 20,EL PASO,118822344,78960290,84986,22544373,220411993,5230,3475,4,992,9701
ELLICOTT 22,EL PASO,4104170,3306037,0,773748,8183956,4312,3474,0,813,8599
PEYTON 23 JT,EL PASO,2755330,2104846,0,466297,5326473,4285,3273,0,725,8284
HANOVER 28,EL PASO,1559803,1490865,0,743300,3793969,6957,6650,0,3315,16922
LEWIS-PALMER 38,EL PASO,26777701,18788180,362927,30351042,76279849,4644,3258,63,5264,13229
FALCON 49,EL PASO,58696517,52124430,12349,14938223,125771519,4028,3577,1,1025,8631
EDISON 54 JT,EL PASO,1160643,828195,0,29930,2018768,6543,4669,0,169,11380
MIAMI/YODER 60 JT,EL PASO,1804560,1419999,0,250341,3474900,6180,4863,0,857,11900
CANON CITY RE-1,FREMONT,17615925,11986330,167719,2385405,32155379,4716,3209,45,639,8609
FLORENCE RE-2,FREMONT,7190128,5309604,112421,1513888,14126041,4505,3327,70,949,8851
COTOPAXI RE-3,FREMONT,1289969,1050322,0,216193,2556484,6214,5059,0,1041,12314
ROARING FORK RE-1,GARFIELD,33655873,16802711,0,9024390,59482974,6446,3218,0,1728,11392
GARFIELD RE-2,GARFIELD,21072230,17284815,15277,30481994,68854316,4656,3820,3,6736,15215
GARFIELD 16,GARFIELD,5788992,5186205,0,21289825,32265021,5180,4641,0,19051,28873
GILPIN COUNTY RE-1,GILPIN,2427472,2365347,0,1830079,6622897,7212,7027,0,5437,19676
WEST GRAND 1-JT.,GRAND,2666643,2151749,6713,8998983,13824088,6091,4915,15,20555,31576
EAST GRAND 2,GRAND,7528881,5071889,1605,3166969,15769344,5945,4005,1,2501,12451
GUNNISON WATERSHED RE1J,GUNNISON,9863816,5884779,385,4556825,20305805,5707,3405,0,2636,11748
HINSDALE COUNTY RE 1,HINSDALE,783841,583495,4304,95964,1467604,9798,7294,54,1200,18345
HUERFANO RE-1,HUERFANO,2785980,2214518,0,415699,5416197,5090,4046,0,760,9896
LA VETA RE-2,HUERFANO,1524342,1228264,0,108386,2860992,6826,5501,0,485,12812
NORTH PARK R-1,JACKSON,1534366,1089005,0,3672,2627043,8166,5796,0,20,13981
JEFFERSON COUNTY R-1,JEFFERSON,431813744,313405360,254638,179889861,925363603,5343,3878,3,2226,11450
EADS RE-1,KIOWA,1302931,898472,0,0,2201402,7553,5209,0,0,12762
PLAINVIEW RE-2,KIOWA,589997,606770,0,0,1196767,7613,7829,0,0,15442
ARRIBA-FLAGLER C-20,KIT CARSON,1219789,950059,684,131625,2302156,8214,6398,5,886,15503
HI PLAINS R-23,KIT CARSON,992965,779554,0,2898892,4671411,8027,6302,0,23435,37764
STRATTON R-4,KIT CARSON,1358582,1008035,0,5562,2372179,7950,5898,0,33,13881
BETHUNE R-5,KIT CARSON,1184342,807215,0,425,1991982,9724,6627,0,3,16355
BURLINGTON RE-6J,KIT CARSON,3585251,2372808,0,543014,6501073,4905,3246,0,743,8893
LAKE COUNTY R-1,LAKE,6035723,4606608,830843,282626,11755799,5604,4277,771,262,10914
DURANGO 9-R,LA PLATA,23808874,21037559,193299,10256392,55296124,5417,4787,44,2334,12581
BAYFIELD 10 JT-R,LA PLATA,6429980,4855198,0,1319633,12604811,4851,3663,0,996,9510
IGNACIO 11 JT,LA PLATA,5119414,4245105,1695,3413649,12779863,6817,5653,2,4545,17017
POUDRE R-1,LARIMER,145197917,125473523,527937,49060683,320260060,5511,4763,20,1862,12156
THOMPSON R-2J,LARIMER,72870289,52986436,1141325,13125979,140124030,4890,3555,77,881,9402
PARK ESTES PARK R-3,LARIMER,6228674,4590407,0,1744531,12563611,5632,4151,0,1577,11361
TRINIDAD 1,LAS ANIMAS,5896361,4579486,0,530700,11006547,4285,3328,0,386,7998
PRIMERO REORGANIZED 2,LAS ANIMAS,1503828,1470940,0,1364021,4338788,7837,7665,0,7108,22610
HOEHNE REORGANIZED 3,LAS ANIMAS,1528056,1372992,0,322030,3223077,4191,3766,0,883,8840
AGUILAR REORGANIZED 6,LAS ANIMAS,1011951,787676,0,83173,1882800,10326,8038,0,849,19212
BRANSON REORGANIZED 82,LAS ANIMAS,1926681,1073329,18182,0,3018193,4468,2489,42,0,7000
KIM REORGANIZED 88,LAS ANIMAS,479408,465429,0,0,944837,8911,8651,0,0,17562
GENOA-HUGO C-113,LINCOLN,1392693,865854,409,6830918,9089874,8640,5371,3,42375,56389
LIMON RE-4J,LINCOLN,2568930,1681875,312,242431,4493549,5781,3785,1,546,10111
KARVAL RE-23,LINCOLN,787294,884843,0,0,1672137,5880,6608,0,0,12488
VALLEY RE-1,LOGAN,11995811,7664089,90640,1757535,21508075,5313,3395,40,778,9527
FRENCHMAN RE-3,LOGAN,1575317,858711,0,44570,2478598,8256,4501,0,234,12991
BUFFALO RE-4,LOGAN,1937888,1301632,0,160413,3399932,6160,4137,0,510,10807
PLATEAU RE-5,LOGAN,1768587,1132643,0,319084,3220314,9643,6176,0,1740,17559
DE BEQUE 49JT,MESA,1046630,830920,0,260763,2138313,8817,7000,0,2197,18014
PLATEAU VALLEY 50,MESA,2166845,1691216,0,294556,4152617,4505,3516,0,612,8633
MESA COUNTY VALLEY 51,MESA,106190736,76147146,368927,19619764,202326573,5079,3642,18,938,9677
CREEDE CONSOLIDATED 1,MINERAL,959760,705187,0,0,1664947,10617,7801,0,0,18418
MOFFAT COUNTY RE:NO 1,MOFFAT,11847752,9847861,0,2795616,24491229,5393,4482,0,1272,11148
MONTEZUMA-CORTEZ RE-1,MONTEZUMA,12641874,13196910,500,365709,26204993,4554,4754,0,132,9439
DOLORES RE-4A,MONTEZUMA,3599801,2372604,106,443818,6416329,5050,3328,0,623,9000
MANCOS RE-6,MONTEZUMA,1849377,1743483,0,189515,3782375,4830,4553,0,495,9878
MONTROSE COUNTY RE-1J,MONTROSE,28549920,24783386,490290,922538,54746134,4773,4143,82,154,9152
WEST END RE-2,MONTROSE,1792548,1825346,360,115542,3733797,5928,6036,1,382,12347
BRUSH RE-2J,MORGAN,7236119,5562413,0,1114468,13913000,4978,3827,0,767,9571
FORT MORGAN RE-3,MORGAN,13914685,11397164,349839,2155975,27817662,4677,3831,118,725,9350
WELDON VALLEY RE-20J,MORGAN,1502066,915852,26145,78335,2522397,7571,4616,132,395,12714
WIGGINS RE-50J,MORGAN,2813464,1956966,0,390801,5161231,5721,3979,0,795,10495
EAST OTERO R-1,OTERO,6850352,5267039,350747,840790,13308928,5190,3990,266,637,10083
ROCKY FORD R-2,OTERO,4258763,3234060,25181,0,7518004,5244,3982,31,0,9257
MANZANOLA 3J,OTERO,1149943,1220707,5125,68684,2444459,7306,7755,33,436,15530
FOWLER R-4J,OTERO,2437091,1401329,0,200990,4039410,5956,3425,0,491,9871
CHERAW 31,OTERO,1375798,978940,47318,33535,2435591,6692,4761,230,163,11846
SWINK 33,OTERO,2125168,1439478,0,187213,3751858,5968,4042,0,526,10536
OURAY R-1,OURAY,1714541,1026349,0,192683,2933573,8686,5199,0,976,14861
RIDGWAY R-2,OURAY,2136945,1915540,4000,801479,4857964,6483,5812,12,2432,14739
PLATTE CANYON 1,PARK,5016206,4512437,121174,900892,10550709,4642,4175,112,834,9763
PARK COUNTY RE-2,PARK,3909176,2590367,5055,1809226,8313824,7579,5022,10,3508,16118
HOLYOKE RE-1J,PHILLIPS,3574683,1939499,0,424825,5939006,6066,3291,0,721,10078
HAXTUN RE-2J,PHILLIPS,2006930,1018163,0,0,3025093,6911,3506,0,0,10417
ASPEN 1,PITKIN,17565169,7573062,765623,7157232,33061086,10631,4584,463,4332,20010
GRANADA RE-1,PROWERS,1625797,993843,0,0,2619640,7431,4542,0,0,11973
LAMAR RE-2,PROWERS,7630264,4024806,94483,367468,12117021,4845,2556,60,233,7694
HOLLY RE-3,PROWERS,1712787,1052600,11538,252625,3029551,6274,3856,42,925,11097
WILEY RE-13 JT,PROWERS,1517224,937172,0,90963,2545360,6788,4193,0,407,11389
PUEBLO CITY 60,PUEBLO,81358675,64350400,153093,8620551,154482720,4814,3808,9,510,9141
PUEBLO COUNTY RURAL 70,PUEBLO,39202790,28454268,0,15543040,83200098,4509,3273,0,1788,9569
MEEKER RE1,RIO BLANCO,4142780,2536129,0,2049331,8728240,6422,3931,0,3177,13530
RANGELY RE-4,RIO BLANCO,3286137,2567793,14665,1826288,7694883,7082,5534,32,3936,16584
DEL NORTE C-7,RIO GRANDE,2501248,1977874,0,559745,5038868,4568,3612,0,1022,9202
MONTE VISTA C-8,RIO GRANDE,5115188,3907488,0,652047,9674722,4632,3539,0,591,8762
SARGENT RE-33J,RIO GRANDE,2318615,1752677,0,371473,4442766,4988,3771,0,799,9558
HAYDEN RE-1,ROUTT,3422014,2080365,0,514809,6017188,8946,5439,0,1346,15731
STEAMBOAT SPRINGS RE-2,ROUTT,14109462,11338586,1513,13094973,38544533,6219,4997,1,5772,16988
SOUTH ROUTT RE 3,ROUTT,3275400,2067546,0,850826,6193772,8559,5403,0,2223,16184
MOUNTAIN VALLEY RE 1,SAGUACHE,1140154,908861,101304,0,2150319,10180,8115,905,0,19199
MOFFAT 2,SAGUACHE,1595884,1389496,0,225283,3210664,8109,7060,0,1145,16314
CENTER 26 JT,SAGUACHE,4143495,3397805,72256,517054,8130611,7056,5786,123,881,13846
SILVERTON 1,SAN JUAN,845731,565959,140194,105880,1657764,13112,8775,2174,1642,25702
TELLURIDE R-1,SAN MIGUEL,5813829,3274342,293039,7083367,16464577,7480,4212,377,9113,21182
NORWOOD R-2J,SAN MIGUEL,1946035,1359275,0,308630,3613939,7605,5312,0,1206,14122
JULESBURG RE-1,SEDGWICK,5111390,1835739,0,95701,7042830,4753,1707,0,89,6550
PLATTE VALLEY RE-3,SEDGWICK,1070787,775412,0,72431,1918630,8748,6335,0,592,15675
SUMMIT RE-1,SUMMIT,19248191,15645247,0,7011895,41905334,6524,5303,0,2377,14203
CRIPPLE CREEK-VICTOR RE-1,TELLER,3529278,2004716,0,995471,6529465,9212,5233,0,2598,17044
WOODLAND PARK RE-2,TELLER,13286425,8239714,0,6372617,27898756,5121,3176,0,2456,10753
AKRON R-1,WASHINGTON,2275232,1451820,0,586533,4313585,6347,4050,0,1636,12032
ARICKAREE R-2,WASHINGTON,984713,921189,0,0,1905902,9788,9157,0,0,18945
OTIS R-3,WASHINGTON,1406361,910343,0,104301,2421005,7561,4894,0,561,13016
LONE STAR 101,WASHINGTON,1140684,932949,0,0,2073633,10086,8249,0,0,18335
WOODLIN R-104,WASHINGTON,784060,837068,0,0,1621128,8578,9158,0,0,17737
WELD RE-1,WELD,9760479,6686045,15669,7513,16469706,5398,3697,9,4,9108
EATON RE-2,WELD,8293448,4996910,750,1626534,14917642,4645,2799,0,911,8355
KEENESBURG RE-3J,WELD,10622046,9074106,7631,14713779,34417562,4959,4236,4,6869,16068
WINDSOR RE-4,WELD,21143929,15019541,167,7773752,43937389,4719,3352,0,1735,9805
JOHNSTOWN-MILIKEN RE-5J,WELD,15869368,9017357,0,2305170,27191895,5020,2852,0,729,8601
GREELEY 6,WELD,98098896,67472364,0,12967190,178538450,5100,3508,0,674,9282
PLATTE VALLEY RE-7,WELD,6308055,4611192,0,4322465,15241712,5786,4229,0,3964,13979
WELD COUNTY S/D RE-8,WELD,12156707,10774643,13632,1157088,24102071,5413,4797,6,515,10731
AULT-HIGHLAND RE-9,WELD,4213289,3346190,0,499243,8058723,5165,4102,0,612,9880
BRIGGSDALE RE-10,WELD,1244008,1027940,0,412500,2684447,8141,6727,0,2700,17568
PRAIRIE RE-11,WELD,1239597,863609,0,257106,2360312,7258,5056,0,1505,13819
PAWNEE RE-12,WELD,1088832,755669,0,59093,1903594,12444,8636,0,675,21755
YUMA 1,YUMA,4767616,3060117,0,761281,8589015,6156,3951,0,983,11090
WRAY RD-2,YUMA,3933428,2857350,0,6011673,12802451,5749,4176,0,8786,18712
IDALIA RJ-3,YUMA,1058571,957184,0,288434,2304189,6786,6136,0,1849,14770
LIBERTY J-4,YUMA,853026,707357,0,0,1560383,10978,9104,0,0,20082
CHARTER SCHOOL INSTITUTE,,40561158,40549832,254978,6088775,87454743,3593,3592,23,539,7746
GLOBAL VILLAGE CHARTER COLLABORATIVE,,0,1683729,0,0,1683729,,,,,
